Gene	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
Gene_42	372.69301588217	420.258249879866	415.829662979816	347.926850391242	404.909469902707	450.687071801528	454.534210964078	363.391155330672	477.128111027535	414.815771642261
Gene_43	377.864467013105	379.759059696093	474.754676655354	389.96264274746	376.285967453507	426.304886291207	471.955510931592	484.760079205647	491.00655453524	467.410289596703
Gene_44	653.287196543728	659.880229039627	671.133962830056	538.323992335066	601.96586474948	661.584780097225	716.086090987853	533.378640368684	673.776709798621	590.9462228054
Gene_45	371.667797555153	430.267458440239	497.583758983042	375.495928078992	405.016785272031	416.337273309792	407.068527076714	532.447430275918	508.412569098352	519.418417229503
Gene_46	624.207767951583	733.609245101439	711.913214562274	682.001455552231	749.31838400153	852.394960268394	880.365484696699	683.872976482075	880.385297388678	729.461891454857
Gene_47	629.686417609761	628.851154170257	639.400695215438	506.235787802408	620.689416153794	645.160913018867	728.806546772981	578.10285513571	678.443288307431	629.393083600026
Gene_48	446.510159954642	435.902761479238	391.332884191314	388.963129754016	424.94598040075	434.529232199394	402.840744938068	360.472107863776	400.844108815845	366.780107696663
Gene_49	317.355539022097	350.101265386842	333.56281615415	329.009546619683	348.3103715991	350.460366375511	323.550528514039	349.66762200989	348.143710325278	326.870051074134
Gene_50	344.680543954451	389.800935901344	460.754066962921	396.987126282378	391.61997686071	413.207892949098	427.271575365019	506.269260716308	483.394132063284	467.012308521403
Gene_51	333.097883975843	323.439178170844	382.97076073214	311.289576234968	319.85173939475	321.234057421051	352.075562081008	407.672631909011	367.364057960254	374.152962211439
Gene_52	341.880891712887	379.419404054716	429.922180123467	373.21687081961	370.776429736893	386.650511046869	394.406687472158	464.76651995215	450.027889925863	440.27149836726
Gene_53	385.886810668437	487.429823726749	441.569833571284	546.104817053583	482.216396191273	418.936692143668	428.471883752828	531.685426805346	458.094232761945	463.193786497072
Gene_54	277.829374450218	270.378874875289	305.202697348551	313.683302614973	276.678211540113	261.721892005803	295.56730803791	354.225263951032	273.971487171518	268.681820796144
Gene_55	540.248673416684	458.233785943363	507.949550878314	336.933248196199	428.166379916851	310.449706005221	381.366028541266	496.401953777833	346.761270385979	446.502443125067
Gene_56	364.433777276877	382.396593458953	408.975850293422	374.70859928342	374.507903857949	413.387514261753	441.011296697715	402.717476386405	440.109282443773	390.130869715333
Gene_57	314.022566682604	299.244190038155	360.166167239186	308.425838943072	296.628481175197	322.648639268543	362.932326142713	355.948228414072	357.226617844352	360.037700546863
Gene_58	458.191192747124	485.770785342771	542.282010503876	557.410723963657	516.85279535799	567.12995732273	630.45794254687	572.012388842525	586.478987743599	514.938460827584
Gene_59	313.380384440066	318.749608741804	349.961486658775	352.110811956104	324.760326306041	322.517050782454	336.796140060915	392.642845222732	347.475824119785	341.140667771337
Gene_60	503.234040766489	450.651946202282	472.270584459857	441.202628841088	429.58655789656	461.674515973432	521.534349570729	360.271125170917	423.624577047654	405.078503963932
Gene_61	1412.60226700334	1556.84971209317	1627.39961332537	1450.37269285846	1614.2383832192	1994.33851304233	2214.40369622329	1508.29888201026	2118.96291712717	1678.99700391602
Gene_62	430.34804411229	432.710927352374	492.908028243433	446.209160544805	418.090062039684	375.871073562952	420.667141515754	558.472924098831	425.95481499201	461.232320644381
Gene_63	833.756321879701	918.27108973209	891.916158032206	765.724380786671	882.817471244863	1047.02578444647	1158.25887681281	708.115712463197	1094.78874873324	910.785808492984
Gene_64	294.831284435127	246.741200520046	294.204870787138	301.567613958827	269.947237575946	278.529704244468	318.50388387042	303.064320166429	254.376483517993	247.893865303421
Gene_65	375.515876786752	401.479719594898	400.211525769692	370.820831703062	392.96545578157	426.776983389106	444.400802924465	387.006614351018	449.242203771864	400.609441508902
Gene_66	354.08634894494	344.304796276278	336.805547971073	279.760860150972	327.74020256995	346.041161670209	343.553042211828	296.29075158455	339.426385889372	312.753966162024
Gene_67	315.615985776315	290.120720787344	284.663701571195	306.015864893437	307.234347577493	316.247234997759	332.936255432021	249.368039734564	278.104808725103	275.1417747276
Gene_68	464.827463184423	485.554085519925	594.1577591254	515.275134020117	472.58833893885	506.291869642717	523.677329144145	668.854857162553	607.610922796734	606.233215545764
Gene_69	492.426593753097	489.397229557592	512.288920341532	417.408636513703	482.035176142329	473.953840267968	534.768349251789	497.812374978092	497.973726014554	478.248005100578
Gene_70	592.804298896545	473.719768901258	493.026532188475	530.716502473758	480.914571305992	510.560067962218	615.792907251895	363.279835401955	440.127992845271	473.212605357652
Gene_71	488.368074985628	453.011867895993	468.701411102579	447.016228584872	430.669637525696	467.906259179747	522.605916830161	364.993063763464	434.224320168503	408.298081439725
Gene_72	413.496216465564	428.771987829289	458.933123965752	391.731207544683	406.018041849532	406.723391779622	418.848247702786	479.762855534085	468.208422947847	470.688134499123
Gene_73	439.193599769676	420.568604845488	446.699659107849	532.636887548373	432.538547389341	361.380294615382	390.189604180273	567.916241078496	359.546732304538	375.942628870434
Gene_74	430.427953559632	364.430355920744	457.623101930636	416.33596546947	385.365895224752	394.653811770701	447.049049711172	495.47618380577	390.22764652442	379.963667855171
Gene_75	444.565475696509	448.358372834763	513.473360840635	495.458795739068	474.20308337852	528.999319144126	579.939340968254	548.763365169153	548.696136054754	472.090777546044
Gene_76	274.644382727268	279.568609960023	355.937286979897	340.459358423234	306.147951345212	315.674458218219	352.147945648957	420.667878984636	344.843883838669	324.089659847028
Gene_77	329.858759421125	352.617426223598	333.041545322608	378.002730583128	358.105198162047	347.673672289806	331.422670294804	356.838762976798	331.53640852649	322.629725993272
Gene_78	678.608324548287	739.48215465793	700.311546472078	574.603422989435	701.356066502803	815.646518082027	867.149527680147	568.463510724599	851.903341800097	709.724104204564
Gene_79	520.629471865589	633.596295097275	699.382971814615	637.772479587826	634.842356837967	664.204730847074	677.396162669797	741.673519190583	754.58963197253	740.408077415136
Gene_80	646.389385529946	703.542279145008	693.324330461571	625.414495072399	704.284660204493	819.18562392369	891.609991214992	626.704151476308	858.499395945019	713.870719411194
Gene_81	412.820223373882	383.196349588243	369.582020585997	298.039767620382	360.856114762046	370.605542675284	375.853904471478	303.512197895358	350.758354045822	334.983938054419
Gene_82	330.91694003337	432.28627125648	427.20745459031	431.359755492176	439.872922147139	430.164885447368	411.3235279767	475.95685782719	461.911108017047	438.888313995771
Gene_83	599.911453692004	624.673887887163	785.114462405658	540.350662252515	579.083280239241	655.0490044436	671.391310030524	807.003034285235	826.292010756355	839.166478131202
Gene_84	450.959293942443	439.32041711314	452.08221017625	376.882000294172	417.135759282311	447.846138227026	469.685119594407	395.082576235115	443.271374574982	402.627061510505
Gene_85	493.635905646059	534.554886857514	528.093530889203	449.289573541917	497.657711739562	568.558001001173	622.571093088585	425.615004237396	590.921599390138	508.28787206441
Gene_86	367.86217062872	406.945450222168	390.942667477104	453.587696482563	410.834165654856	408.580934847706	423.712944514111	434.607456135977	418.721994273418	393.287171912869
Gene_87	387.546139306573	365.64317327385	351.317922483949	345.151880152514	358.480492019664	321.570298786655	295.675659771019	367.857969427303	314.223649086674	343.279970296815
Gene_88	337.671611637829	364.928228382476	353.798558417428	348.831239047221	356.449286143319	375.869373289611	374.98219894375	348.818490054891	384.576018823984	348.367461391372
Gene_89	375.050269615484	470.509496612648	448.729353981266	435.259607020052	465.507836994563	450.090139602722	393.894794795339	483.09961881063	467.903193175204	450.29368135686
Gene_90	575.726614058599	597.583654610125	613.73309971603	519.706458190386	573.90613564912	639.499244283981	687.819487856289	553.975800545319	667.718502411709	571.520274704705
Gene_91	487.661279265064	656.973255749771	653.424218203043	572.89627687816	648.026656573012	680.154185265237	668.80961720778	658.117585592772	764.823402682691	713.881648459742
Gene_92	321.597878432989	300.807517391141	315.921945351102	326.208332193547	308.597502055138	279.866884961504	288.631182681996	353.031396724013	267.007356137912	272.715727502106
Gene_93	354.784597182528	385.300388207844	350.749198656887	349.802061017254	380.883221635225	393.116419332253	368.239528257906	332.527397311602	376.669379911593	345.571188926531
Gene_94	531.639812566575	506.717227184301	568.258483832451	665.353754714644	561.410993670277	625.710389742805	764.856589895812	506.954157884717	591.916661032678	577.782530383846
Gene_95	399.517136023554	384.586842467958	347.298281315225	377.396138660184	378.709381774148	343.517889889666	313.580025484177	369.52368923385	320.773316719132	322.174084547775
Gene_96	557.245145565707	622.022428738359	612.946983702517	508.366612607452	577.56204032218	649.223219871228	684.503214840724	498.947416649063	681.620874366971	591.355380926592
Gene_97	380.769838455859	380.907493532855	410.613064433435	532.656144595981	397.36085329692	340.010787319064	385.855911553719	547.530925259324	355.099552969054	370.619498266434
Gene_98	606.075417077506	662.502644794137	603.217720632869	857.735249825154	681.765808715927	583.934736138272	554.574163523368	799.386957996085	572.522184010404	585.436654271473
Gene_99	817.440263475	948.195165951932	1156.96603935827	767.959641487491	859.477010088777	969.738097788326	916.630623757873	1204.90872995742	1248.38019639642	1252.58369919071
Gene_100	345.355450192858	286.371880529917	371.999640607754	400.597797782804	328.151606650172	361.642236656781	433.29045158704	383.437028295468	354.718847287889	368.462313929196
Gene_101	484.636950365225	494.135912063669	591.157180159868	558.737262267663	531.642278905917	611.747257412034	686.48439608949	646.593418944139	654.303537715935	554.417823895381
Gene_102	321.794529666154	325.296281521061	323.761989944476	302.446474349313	325.726254368108	344.165931348387	347.682378190676	291.561281282267	334.631487689726	316.469034972975
Gene_103	454.351085121113	413.676010612801	424.29742396871	342.598122076705	394.85821305739	405.345844140994	465.295573699974	352.456631183379	428.982662001046	439.162051847549
Gene_104	304.215837635558	320.178060057637	294.644831270763	328.63437648971	329.647702552461	319.14534506386	306.575298481614	303.617972399603	296.074155672029	282.850055763215
Gene_105	421.443441906365	434.922328300461	427.671032162442	382.618398376368	429.086504865722	444.716348487886	493.09911029068	398.844264977051	476.54611774512	446.487089860404
Gene_106	324.619346713996	325.993049713297	368.347363878529	328.698945549154	329.31526019247	315.712345898623	338.828942324848	409.430357495141	348.898750212431	348.541658753931
Gene_107	252.597710006571	259.032869556166	252.657433908281	231.717434840421	255.772830530205	262.198809926067	239.858060508871	245.629931091873	256.01029180774	238.181928778967
Gene_108	926.583607106659	923.566995570454	946.226049899058	743.28101281539	860.891269263956	945.227921521336	988.450398495985	808.477191422111	960.309704268828	829.8875851985
Gene_109	422.608834112271	448.059478630212	446.804504587377	463.624989168283	454.568100425494	450.561778525825	476.895020250141	481.749493165211	466.113935464113	434.026804863663
Gene_110	417.929858360687	375.329405671698	484.075022155428	457.215824716369	416.597730620954	421.365055229642	483.206951669695	568.420029233818	431.708353598811	400.513768357414
Gene_111	529.3085006355	452.711354802876	517.36034900761	380.475926442768	450.509097822325	460.707366714774	420.09896299791	524.659177892241	463.749466376393	475.343332062783
Gene_112	741.88574465847	752.090523752306	726.650885762822	537.74948527003	639.980138285632	673.394809040553	672.604921676075	523.149470517657	666.955974093378	592.429453262231
Gene_113	336.179222407087	300.399272372877	306.773188622467	297.853584883329	313.561965866858	321.213825887282	304.973208785169	298.201165303394	286.786820747668	273.619300681052
Gene_114	498.349459741372	548.665330340415	606.634158641295	495.096797396353	529.326022241858	605.994226850627	636.551892836205	591.759321913151	679.384976209655	606.023533051575
Gene_115	331.252597572362	318.741938941174	393.430814173482	359.711718889438	332.058256429998	362.063551046714	397.857494392389	429.463277532187	387.70180369539	357.69069394052
Gene_116	542.763100867368	497.441386361805	503.983560167533	357.779880449864	457.306228483266	462.538860529114	405.709842005533	444.728037960989	450.966961026002	441.214770163395
Gene_117	503.279264417233	554.457055014716	584.524594907421	493.39819003549	535.279315860889	606.595518544118	657.709423010443	520.04057471158	666.490186424112	612.662487845355
Gene_118	487.065763866534	563.112258624903	543.826463373785	487.559897676071	568.23012864375	651.980819989163	692.15981746691	500.824261361005	695.615108901267	590.509622832413
Gene_119	385.318259680236	389.197810646524	384.972293355462	331.74222263757	364.528266152066	399.407154178445	419.633188346718	321.880670282808	397.080032960013	351.012822681514
Gene_120	473.297546701914	507.979662495315	586.708526491368	489.719923741698	494.864895271137	558.14628713821	598.431156028416	566.419028694608	642.234813924361	629.499552684427
Gene_121	409.956342125174	390.641394102231	445.7522392357	452.977925815112	419.056493279289	452.073086275245	472.906644178944	498.691099929991	443.741191594985	389.670410264284
Gene_122	1956.61493784248	2174.12571636529	2792.60524049435	1724.67452572611	1953.99488148957	2295.15273909042	2221.97633897931	2869.28315525828	3029.28554477402	3068.7850295926
Gene_123	297.583329225432	288.72110106871	320.419111799897	250.488596625986	267.398073073947	283.110653965326	315.17515604261	280.62570302894	309.226273588156	294.608331492439
Gene_124	321.292569199198	326.272445309553	362.908533562492	309.538686490233	330.54077745547	342.53837437788	376.031120566563	376.075624457521	366.452036547053	343.584939792323
Gene_125	419.157539206473	464.263790181648	474.63113294438	380.271306585479	442.777710432353	505.252733110324	529.474891098275	420.263531626511	556.217365766015	496.680387882701
Gene_126	468.285394329299	453.552004955053	498.17990329949	348.521949935967	420.416819138999	443.612791875071	397.637498295844	489.822599766925	499.135233567685	510.316195421135
Gene_127	253.446838482119	260.798233264065	255.469505153356	278.127610566951	257.97068122741	235.282772188782	232.902563727835	288.806105507246	242.851776740502	248.749132527283
Gene_128	1052.67453778419	1172.52408278107	1136.38531607833	921.196819702604	1112.05573249723	1321.14522503691	1426.97035616708	917.307751945092	1393.87312345699	1124.15044348128
Gene_129	315.165102626639	296.554501946899	292.194072251021	251.763902308833	286.961919802772	287.140669218474	276.302138939391	268.688364735425	279.28380948376	271.035575603991
Gene_130	450.418740043589	471.757040566038	511.48467665907	457.904370106949	488.830020441804	553.114230824634	618.870587269645	504.892559690517	581.647919531043	495.945041189529
Gene_131	572.478979816531	658.18408687713	558.029653624155	767.26488256032	648.556620496937	618.721698741341	632.275213739647	655.365900246862	634.916787334745	597.058653663919
Gene_132	720.65158375632	757.493182605476	954.532957985574	661.423329691963	703.795866848382	821.939396894863	855.193980745772	951.772701863894	1029.93810540843	1040.87825741761
Gene_133	535.084444698976	543.764774340677	547.556634335559	697.879526378981	560.602981998403	476.402936686055	518.169823265021	701.244059672821	480.18132812129	487.975332234388
Gene_134	514.890935387509	826.647257002867	725.532186062103	714.904769877085	822.345309857755	742.725614031666	606.371676681047	759.702058088248	773.554012289157	753.947123214593
Gene_135	387.784726860958	363.640086339047	385.594700349363	361.179337717123	369.818852746355	379.779823073681	372.109055073814	404.341718508052	369.362476386158	337.35742452488
Gene_136	939.201534442823	814.079902352923	941.48127867447	611.109366137922	773.946600514573	566.390180898496	725.007233357188	916.102228936671	574.567064723452	676.333911483719
Gene_137	675.270676523786	762.120968268629	722.249201394392	679.067208190274	768.135054022961	905.300464350957	981.704394375913	644.517890381623	948.867807564343	774.46962995091
Gene_138	425.789492472801	437.39723312871	431.738518280052	327.584359055986	401.643012243042	440.433511186826	437.37272358023	361.255739609716	457.008028733385	402.513569828824
Gene_139	328.722319460663	331.830206979313	316.190404236035	309.283938410537	324.775228089322	287.65598198264	263.84588898857	341.892120709541	288.475401951269	302.07976905443
Gene_140	626.972877688789	519.000849553937	665.495749252523	685.723621356431	604.091113683634	648.30444254867	652.467811504363	807.038582602063	599.521869568871	541.007184509996
Gene_141	460.49559093251	419.198024563747	500.130642769501	482.852720002085	457.502137852102	486.673893763708	517.491271513468	558.886234236665	474.250184642186	425.466561408158
Gene_142	559.149694849687	579.385209622327	643.125153188641	582.53413412404	569.90081951082	663.38904245617	765.048001806933	577.542066345842	700.873822906041	622.042406461643
Gene_143	259.535894374607	268.927893671341	282.714605480469	266.585326778774	265.706881345662	255.760052316382	276.098231524053	288.859054486602	273.768783077314	291.780875213965
Gene_144	325.20072917521	384.381870328801	376.373762605434	391.920239213813	380.648151811634	373.905309906087	359.345925184677	417.044981664432	397.249203119156	383.931792907775
Gene_145	667.658024769355	704.025896672965	744.332450273215	565.887787570947	629.843342109427	698.550402329532	788.446653596501	624.439652264587	762.996072285837	665.662197720928
Gene_146	507.421376966612	472.314845307438	531.723858188304	364.499469306414	449.622091766359	405.522247676001	476.251923283516	516.122079759078	454.829963080391	477.578362952429
Gene_147	319.432827233016	322.826531169936	373.598478526593	400.550889955144	338.289466993471	308.720891964434	344.012233033955	461.052813133308	336.648004227336	339.143725185649
Gene_148	1094.28321285274	1182.75764046831	1144.78267690109	907.849141734983	1128.13939646801	1316.09867267847	1417.59704970895	928.786454905388	1383.11286608111	1141.67310536919
Gene_149	905.773684333343	1021.93278422284	922.825050810034	1249.7011043681	1037.28486435644	951.959085771647	1038.84950571571	1132.9230281806	991.242697486075	944.704829824917
Gene_150	372.540646231611	387.821998276403	368.837816562573	349.989493514024	379.441244466151	377.589051801963	386.063429258875	363.332420080592	394.048228720668	374.017393940732
Gene_151	291.313015254486	338.809931903115	316.139251542819	337.62781405274	343.69066872812	329.869916609239	329.006826453962	328.050941189563	335.154745353537	325.725154535551
Gene_152	345.745068215608	364.573842695099	335.283930133157	360.737184884082	375.683020608444	351.656077223447	295.918553801534	369.772103747504	322.652176119969	315.48881717567
Gene_153	463.168944828089	557.481125675941	590.338472344729	528.73851337413	528.911394545247	552.17405615243	546.409207753695	631.335782444587	654.357953817953	642.835149419573
Gene_154	328.632754300187	370.237542902313	398.497664378366	395.509392722683	369.53777365296	357.410477154926	360.188220577157	453.934054301588	398.466851820612	400.62292014327
Gene_155	406.475600950915	516.126536273681	473.904329075286	496.534587378333	519.258929487608	540.647463479396	535.612997069309	483.372756626925	561.700259944984	496.176697600764
Gene_156	361.163286316929	384.207430949043	390.513729178638	437.697047517765	383.531614968733	373.229666730554	381.921843439746	460.610894752485	395.362206716913	384.988417435823
Gene_157	287.539973032259	350.377702963499	364.830617085832	339.001892711765	341.757266341929	347.278333058486	343.93225148022	393.536146397477	390.788514037594	377.967219083975
Gene_158	406.261482607619	447.990119740032	439.516223677609	495.496802878955	459.928293162953	490.507568478817	534.341747161853	443.564571317385	495.769427798071	449.082072064375
Gene_159	270.792554198737	292.048159754124	284.186295985842	318.083399182417	300.865690222433	300.44329737204	307.515661814769	298.404482480311	295.70019260557	276.321642735847
Gene_160	390.97837843316	400.119607967288	446.014473224654	400.180563649829	408.863500125436	392.016747988222	445.363877508627	472.194921290085	426.538759720166	427.017359962503
Gene_161	534.698998497296	501.338931324435	476.570057456108	400.30470891563	472.088969236927	493.52842214477	449.656254719508	381.747184668231	438.122459250006	404.812738730305
Gene_162	279.781707761211	269.128225764321	282.885676280646	245.722645166435	261.818951895702	270.671696604758	265.84813090112	273.589588409158	277.246423541329	279.600889238438
Gene_163	352.960155026585	343.867335730799	379.249406082593	400.909387765611	345.086916287146	293.314737205483	314.249522077436	462.708715382213	307.365466992515	327.328725576012
Gene_164	379.490090607269	429.828230047861	472.827984481472	467.154671232489	431.70375975699	392.536359426626	412.902267425093	540.618394127288	441.060384315644	464.293263587597
Gene_165	438.860309698648	421.790609866105	379.882236953787	336.421849369667	407.161861070406	418.023236651882	362.385100636944	329.305976356414	377.661207707948	346.370808882132
Gene_166	2257.12531645003	2578.84113561198	2480.92637567226	2133.65006996018	2612.38265944243	3307.27512278274	3610.00213445413	2059.51381683564	3491.40461228918	2706.30691663637
Gene_167	467.038047588953	425.536766102173	501.823397722391	504.677443406018	452.252976008538	507.057874561239	622.932203273765	471.925869777314	511.20517137654	481.919684450859
Gene_168	437.688106183506	443.020140408056	553.383645674013	539.299457370844	481.444934364569	525.378506524244	593.906699997773	637.829189111644	572.956589172423	524.855307632744
Gene_169	346.569678453371	331.659021916404	349.944415472817	319.063327169158	340.888334423942	341.146619027142	384.14767058335	328.924837408581	342.261119838414	328.928594562104
Gene_170	329.568132483801	373.462820064003	425.085942978921	402.445862350035	396.913004628603	415.260132203333	442.291701192485	470.746252127264	453.334957950591	417.939549896595
Gene_171	416.624331474803	397.808222719317	420.148478942293	359.073611533593	390.954240147466	408.690760225593	466.103478412365	371.993337144873	415.744746860747	388.305929124221
Gene_172	245.868456964683	224.942097400005	238.917956536342	200.672351568418	223.448521397471	218.3889911758	214.403055674884	236.079864787744	218.674340250945	222.038424715228
Gene_173	607.698809337607	517.061524837273	581.000841474806	557.047428790124	535.542717929152	574.352673776807	717.172902109401	522.614364255704	620.045524755043	680.926326857998
Gene_174	358.111572329479	355.952041353351	396.991881579062	319.716158837482	351.883562238212	376.434176096778	409.793740492654	385.970349023362	406.291071701083	376.757915466651
Gene_175	416.947800498139	411.114933342321	459.303266315502	365.617564942165	386.324838460172	417.322857696431	468.651437799099	419.616741509176	453.450620987273	429.565345774908
Gene_176	323.153196354813	364.763913379563	346.616538227595	368.334780769186	367.489098091953	378.271511338584	376.480650695992	370.588768855419	387.539241137451	347.908110330814
Gene_177	607.083362901803	571.466145581129	557.152138138994	499.563589404667	570.101835582316	606.817390670842	568.208682401814	524.383696002462	564.63855795745	490.270560845656
Gene_178	402.189698454328	347.923299148443	392.064208300865	357.638435754104	359.908149102675	381.9559570128	379.933575337906	383.785157904237	359.789332881376	343.436412303255
Gene_179	548.71528619774	555.068622418592	528.209861965433	438.524072429263	516.231628811208	568.070189080742	573.844589397874	412.116743567854	553.344220029603	479.121170771773
Gene_180	276.947562327449	275.634194178991	296.312114578939	266.453117222882	272.394669199985	292.63254060154	311.159057660314	288.660228558918	302.015227415641	289.992840657796
Gene_181	770.337940042347	745.950311579264	948.974953015677	880.694292984987	809.130647684489	925.018175229031	1076.76844630349	1048.42844890675	991.703694711354	848.204649734024
